timestamp,temperature,vibration,motor_load,rpm,machine_health_score,machine_status
2026-03-01T08:00:00,25.7,0,95,546.6,100.0,Healthy
2026-03-01T08:00:01,26.1,5,100,550.75,100.0,Healthy
2026-03-01T08:00:02,24.9,15,90,550.45,100.0,Healthy
2026-03-01T08:00:03,27.3,20,110,558.8,100.0,Healthy
2026-03-01T08:00:04,28.0,35,130,566.65,100.0,Healthy
2026-03-01T08:00:05,29.4,45,150,574.75,100.0,Healthy
2026-03-01T08:00:06,30.2,60,180,585.4,100.0,Healthy
2026-03-01T08:00:07,31.0,75,200,572.25,100.0,Healthy
2026-03-01T08:00:08,32.1,80,220,580.6,100.0,Healthy
2026-03-01T08:00:09,33.5,95,250,591.25,100.0,Healthy
2026-03-01T08:00:10,34.0,110,270,599.1,100.0,Healthy
2026-03-01T08:00:11,35.2,130,300,609.5,100.0,Healthy
2026-03-01T08:00:12,36.4,150,320,617.1,100.0,Healthy
2026-03-01T08:00:13,37.8,170,350,627.5,100.0,Healthy
2026-03-01T08:00:14,38.0,190,380,616.9,100.0,Healthy
2026-03-01T08:00:15,39.5,220,410,626.8,100.0,Healthy
2026-03-01T08:00:16,40.1,250,450,639.5,100.0,Healthy
2026-03-01T08:00:17,41.2,280,500,655.0,100.0,Healthy
2026-03-01T08:00:18,42.6,320,560,672.8,100.0,Healthy
2026-03-01T08:00:19,43.9,360,620,690.6,100.0,Healthy
2026-03-01T08:00:20,44.5,420,680,707.4,100.0,Healthy
2026-03-01T08:00:21,25.5,1008,95,496.2,79.47,Critical
2026-03-01T08:00:22,25.9,850,140,519.7,90.0,Critical
2026-03-01T08:00:23,26.5,920,170,527.6,85.33,Critical
2026-03-01T08:00:24,27.0,1100,220,535.6,73.33,Critical
2026-03-01T08:00:25,28.4,1300,280,545.4,60.0,Critical
2026-03-01T08:00:26,29.3,1450,320,552.1,50.0,Critical
2026-03-01T08:00:27,30.0,780,340,594.2,94.67,Critical
2026-03-01T08:00:28,31.1,810,360,580.3,92.67,Critical
2026-03-01T08:00:29,32.0,760,420,602.6,96.0,Critical
2026-03-01T08:00:30,46.5,120,300,604.0,97.0,Critical
2026-03-01T08:00:31,48.2,170,330,612.9,93.6,Critical
2026-03-01T08:00:32,50.0,210,370,625.1,90.0,Critical
2026-03-01T08:00:33,53.4,260,420,639.6,83.2,Critical
2026-03-01T08:00:34,56.1,300,500,663.0,77.8,Critical
2026-03-01T08:00:35,45.6,90,260,588.3,98.8,Critical
2026-03-01T08:00:36,34.0,500,300,582.0,96.0,Critical
2026-03-01T08:00:37,36.0,520,340,595.2,86.67,Critical
2026-03-01T08:00:38,38.0,550,360,602.3,76.67,Critical
2026-03-01T08:00:39,40.0,590,420,620.1,63.33,Critical
2026-03-01T08:00:40,33.0,420,290,595.2,97.33,Critical
2026-03-01T08:00:41,30.0,520,900,764.0,94.29,Critical
2026-03-01T08:00:42,31.2,570,980,765.9,89.71,Critical
2026-03-01T08:00:43,32.3,620,1050,786.0,85.71,Critical
2026-03-01T08:00:44,33.1,680,1200,828.0,77.14,Critical
2026-03-01T08:00:45,34.5,450,830,738.9,98.29,Critical
2026-03-01T08:00:46,47.2,760,910,748.8,84.65,Critical
2026-03-01T08:00:47,49.0,980,950,752.0,60.76,Critical
2026-03-01T08:00:48,52.0,1200,1100,786.0,28.19,Critical
2026-03-01T08:00:49,55.0,1400,1250,800.0,0.0,Critical
2026-03-01T08:00:50,58.0,1650,1400,832.5,0.0,Critical
